date,client,platform,campaign,impressions,clicks,cost,conversions,ctr,cpc,cpa,month,extracted_client,campaign_category,date_clean
2025-03-10,ClientE,Google Ads,ClientE-Search-Brand,25384.0,732,2248.04,18,2.88,3.07,124.89,3,ClientE,Search,2025-03-10
2025-11-11,ClientA,Google Ads,ClientA-Search-Nonbrand,57395.0,2815,13064.05,39,7.85,2.9,209.36,11,ClientA,Search,2025-11-11
2025-08-25,ClientE,Facebook Ads,ClientE-FB-Remarketing,7763.0,546,2562.81,6,7.03,4.69,427.14,8,ClientE,Other,2025-08-25
2025-03-14,ClientB,Google Ads,ClientB-Search-Nonbrand,578.0,34,126.1,1,5.88,3.71,126.1,3,ClientB,Search,2025-03-14
2025-02-07,ClientJ,Google Ads,ClientJ-YouTube-Awareness,8132.0,487,2247.82,19,5.99,4.62,118.31,2,ClientJ,Other,2025-02-07
2025-06-04,ClientB,Google Ads,ClientB-YouTube-Awareness,18361.0,527,1918.41,23,2.87,3.64,83.41,6,ClientB,Other,2025-06-04
2024-12-18,ClientI,Facebook Ads,ClientI-FB-Video,21594.0,695,1810.11,31,5.15,1.63,36.49,12,ClientI,Other,2024-12-18
2025-03-10,ClientK,Facebook Ads,ClientK-FB-Remarketing,41311.0,976,4281.87,37,2.36,4.39,115.73,3,ClientK,Other,2025-03-10
2025-03-29,ClientK,Facebook Ads,ClientK-IG-Stories,15362.0,908,954.43,34,5.91,1.05,28.07,3,ClientK,Other,2025-03-29
2025-06-30,ClientA,Google Ads,ClientA-YouTube-Awareness,10055.0,471,507.91,16,4.68,1.08,31.74,6,ClientA,Other,2025-06-30
2025-10-24,ClientK,Facebook Ads,ClientK-FB-Remarketing,31120.0,1448,5875.3,12,4.65,4.06,489.61,10,ClientK,Other,2025-10-24
2025-02-23,ClientH,Facebook Ads,ClientH-IG-Stories,47472.0,3415,10770.41,89,7.19,3.15,121.02,2,ClientH,Other,2025-02-23
2025-03-07,ClientB,Google Ads,ClientB-Display-Prospecting,49051.0,1562,1964.31,53,3.18,1.26,37.06,3,ClientB,Display,2025-03-07
2025-11-22,ClientA,Facebook Ads,ClientA-IG-Stories,25000.0,655,3473.28,19,4.19,3.31,114.25,11,ClientA,Other,2025-11-22
2025-04-28,ClientK,Google Ads,ClientK-Search-Nonbrand,39554.0,2398,7988.29,110,6.06,3.33,72.62,4,ClientK,Search,2025-04-28
2025-04-07,ClientC,Google Ads,ClientC-YouTube-Awareness,32959.0,1126,4488.34,48,3.42,3.99,93.51,4,ClientC,Other,2025-04-07
2025-04-26,ClientG,Facebook Ads,ClientG-IG-Stories,28200.0,892,4457.93,9,3.16,5.0,495.33,4,ClientG,Other,2025-04-26
2025-10-02,ClientF,Google Ads,ClientF-Search-Brand,33681.0,853,1696.81,9,2.53,1.99,188.53,10,ClientF,Search,2025-10-02
2025-08-12,ClientK,Facebook Ads,ClientK-FB-Video,26080.0,1244,6025.37,31,4.77,4.84,194.37,8,ClientK,Other,2025-08-12
2025-11-06,ClientB,Facebook Ads,ClientB-IG-Stories,75608.0,3138,16374.75,84,6.64,3.26,121.84,11,ClientB,Other,2025-11-06
2025-09-17,ClientC,Google Ads,ClientC-Search-Brand,18894.0,250,147.99,6,1.32,0.59,24.67,9,ClientC,Search,2025-09-17
2025-06-07,ClientK,Google Ads,ClientK-Shopping-Products,8266.0,149,645.62,1,1.8,4.33,645.62,6,ClientK,Other,2025-06-07
2025-08-31,ClientF,Facebook Ads,ClientF-IG-Stories,35219.0,980,1300.15,10,2.78,1.33,130.02,8,ClientF,Other,2025-08-31
2025-05-07,ClientD,Facebook Ads,ClientD-FB-Video,23673.0,599,1316.26,28,2.53,2.2,47.01,5,ClientD,Other,2025-05-07
2025-10-07,ClientH,Facebook Ads,ClientH-FB-Remarketing,43951.0,1070,1718.83,8,2.43,1.61,214.85,10,ClientH,Other,2025-10-07
2024-12-19,ClientG,Google Ads,ClientG-Display-Prospecting,36651.0,918,6466.7,22,4.01,4.4,183.71,12,ClientG,Display,2024-12-19
2025-08-07,ClientC,Facebook Ads,ClientC-Messenger,37564.0,1544,5085.54,64,4.11,3.29,79.46,8,ClientC,Other,2025-08-07
2025-07-21,ClientF,Facebook Ads,ClientF-Messenger,22220.0,506,1440.16,19,2.28,2.85,75.8,7,ClientF,Other,2025-07-21
2025-11-07,ClientG,Google Ads,ClientG-Search-Nonbrand,51870.0,2361,15259.97,75,7.28,4.04,127.17,11,ClientG,Search,2025-11-07
2025-01-15,ClientF,Google Ads,ClientF-Search-Brand,6770.0,377,885.29,12,5.57,2.35,73.77,1,ClientF,Search,2025-01-15
2025-01-25,ClientL,Facebook Ads,ClientL-FB-Remarketing,49615.0,743,2045.28,3,1.5,2.75,681.76,1,ClientL,Other,2025-01-25
2025-05-16,ClientI,Google Ads,ClientI-Shopping-Products,3055.0,219,191.97,9,7.17,0.88,21.33,5,ClientI,Other,2025-05-16
2025-06-03,ClientJ,Google Ads,ClientJ-Display-Prospecting,49800.0,1239,2565.05,34,2.49,2.07,75.44,6,ClientJ,Display,2025-06-03
